Identifier,Taxa1,Taxa2,Taxa3
SMGC_4014,Virus,Siphoviridae,Siphoviridae
SMGC_4008,Virus,Myoviridae,Myoviridae
SMGC_4016,Virus,Podoviridae,Podoviridae
SMGC_4005,Virus,Other,Other
SMGC_4010,Virus,Siphoviridae,Siphoviridae
SMGC_4017,Virus,Unassigned,Unassigned
SMGC_4003,Virus,Siphoviridae,Siphoviridae
SMGC_4020,Virus,Siphoviridae,Siphoviridae
SMGC_4019,Virus,Phycodnaviridae,Phycodnaviridae
SMGC_4021,Virus,Unassigned,Unassigned
SMGC_4022,Virus,Myoviridae,Myoviridae
SMGC_4023,Virus,Siphoviridae,Siphoviridae
SMGC_4024,Virus,Phycodnaviridae,Phycodnaviridae
SMGC_4025,Virus,Other,Other
SMGC_4026,Virus,Siphoviridae,Siphoviridae
SMGC_4027,Virus,Siphoviridae,Siphoviridae
SMGC_4028,Virus,Other,Other
SMGC_4036,Virus,Myoviridae,Myoviridae
SMGC_4032,Virus,Myoviridae,Myoviridae
SMGC_4030,Virus,Siphoviridae,Siphoviridae
SMGC_4044,Virus,Myoviridae,Myoviridae
SMGC_4042,Virus,Siphoviridae,Siphoviridae
SMGC_4041,Virus,Siphoviridae,Siphoviridae
SMGC_4033,Virus,Siphoviridae,Siphoviridae
SMGC_4034,Virus,Siphoviridae,Siphoviridae
SMGC_4046,Virus,Siphoviridae,Siphoviridae
SMGC_4048,Virus,Myoviridae,Myoviridae
SMGC_4049,Virus,Siphoviridae,Siphoviridae
SMGC_4047,Virus,Siphoviridae,Siphoviridae
SMGC_4039,Virus,Podoviridae,Podoviridae
SMGC_4043,Virus,Siphoviridae,Siphoviridae
SMGC_4031,Virus,Podoviridae,Podoviridae
SMGC_4037,Virus,Myoviridae,Myoviridae
SMGC_4038,Virus,Other,Other
SMGC_4029,Virus,Other,Other
SMGC_4035,Virus,Other,Other
SMGC_4045,Virus,Siphoviridae,Siphoviridae
SMGC_4040,Virus,Inoviridae,Inoviridae
SMGC_4054,Virus,Myoviridae,Myoviridae
SMGC_4050,Virus,Siphoviridae,Siphoviridae
SMGC_4059,Virus,Siphoviridae,Siphoviridae
SMGC_4057,Virus,Siphoviridae,Siphoviridae
SMGC_4056,Virus,Siphoviridae,Siphoviridae
SMGC_4058,Virus,Siphoviridae,Siphoviridae
SMGC_4055,Virus,Inoviridae,Inoviridae
SMGC_4053,Virus,Other,Other
SMGC_4052,Virus,Siphoviridae,Siphoviridae
SMGC_4051,Virus,Unassigned,Unassigned
SMGC_4060,Virus,Siphoviridae,Siphoviridae
SMGC_4061,Virus,Papillomaviridae,Papillomaviridae
SMGC_4062,Virus,Myoviridae,Myoviridae
SMGC_4063,Virus,Siphoviridae,Siphoviridae
SMGC_4065,Virus,Siphoviridae,Siphoviridae
SMGC_4068,Virus,Siphoviridae,Siphoviridae
SMGC_4066,Virus,Podoviridae,Podoviridae
SMGC_4064,Virus,Caulimoviridae,Caulimoviridae
SMGC_4067,Virus,Siphoviridae,Siphoviridae
SMGC_4087,Virus,Siphoviridae,Siphoviridae
SMGC_4073,Virus,Siphoviridae,Siphoviridae
SMGC_4078,Virus,Siphoviridae,Siphoviridae
SMGC_4081,Virus,Siphoviridae,Siphoviridae
SMGC_4072,Virus,Siphoviridae,Siphoviridae
SMGC_4082,Virus,Siphoviridae,Siphoviridae
SMGC_4070,Virus,Myoviridae,Myoviridae
SMGC_4083,Virus,Siphoviridae,Siphoviridae
SMGC_4084,Virus,Siphoviridae,Siphoviridae
SMGC_4092,Virus,Siphoviridae,Siphoviridae
SMGC_4091,Virus,Unassigned,Unassigned
SMGC_4094,Virus,Siphoviridae,Siphoviridae
SMGC_4095,Virus,Siphoviridae,Siphoviridae
SMGC_4089,Virus,Siphoviridae,Siphoviridae
SMGC_4085,Virus,Siphoviridae,Siphoviridae
SMGC_4079,Virus,Siphoviridae,Siphoviridae
SMGC_4076,Virus,Siphoviridae,Siphoviridae
SMGC_4071,Virus,Other,Other
SMGC_4074,Virus,Siphoviridae,Siphoviridae
SMGC_4069,Virus,Siphoviridae,Siphoviridae
SMGC_4080,Virus,Other,Other
SMGC_4090,Virus,Myoviridae,Myoviridae
SMGC_4077,Virus,Siphoviridae,Siphoviridae
SMGC_4075,Virus,Other,Other
SMGC_4097,Virus,Siphoviridae,Siphoviridae
SMGC_4096,Virus,Siphoviridae,Siphoviridae
SMGC_4093,Virus,Siphoviridae,Siphoviridae
SMGC_4088,Virus,Myoviridae,Myoviridae
SMGC_4086,Virus,Siphoviridae,Siphoviridae
SMGC_4098,Virus,Unassigned,Unassigned
SMGC_4099,Virus,Siphoviridae,Siphoviridae
SMGC_4103,Virus,Siphoviridae,Siphoviridae
SMGC_4102,Virus,Siphoviridae,Siphoviridae
SMGC_4104,Virus,Unassigned,Unassigned
SMGC_4100,Virus,Siphoviridae,Siphoviridae
SMGC_4101,Virus,Siphoviridae,Siphoviridae
SMGC_4107,Virus,Siphoviridae,Siphoviridae
SMGC_4114,Virus,Siphoviridae,Siphoviridae
SMGC_4108,Virus,Siphoviridae,Siphoviridae
SMGC_4105,Virus,Myoviridae,Myoviridae
SMGC_4109,Virus,Siphoviridae,Siphoviridae
SMGC_4106,Virus,Siphoviridae,Siphoviridae
SMGC_4112,Virus,Siphoviridae,Siphoviridae
SMGC_4110,Virus,Siphoviridae,Siphoviridae
SMGC_4113,Virus,Siphoviridae,Siphoviridae
SMGC_4118,Virus,Siphoviridae,Siphoviridae
SMGC_4116,Virus,Siphoviridae,Siphoviridae
SMGC_4115,Virus,Podoviridae,Podoviridae
SMGC_4111,Virus,Podoviridae,Podoviridae
SMGC_4117,Virus,Unassigned,Unassigned
SMGC_4119,Virus,Siphoviridae,Siphoviridae
SMGC_4120,Virus,Siphoviridae,Siphoviridae
SMGC_4121,Virus,Siphoviridae,Siphoviridae
SMGC_4125,Virus,Siphoviridae,Siphoviridae
SMGC_4122,Virus,Phycodnaviridae,Phycodnaviridae
SMGC_4124,Virus,Siphoviridae,Siphoviridae
SMGC_4123,Virus,Siphoviridae,Siphoviridae
SMGC_4126,Virus,Siphoviridae,Siphoviridae
SMGC_4127,Virus,Unassigned,Unassigned
SMGC_4130,Virus,Myoviridae,Myoviridae
SMGC_4129,Virus,Myoviridae,Myoviridae
SMGC_4128,Virus,Siphoviridae,Siphoviridae
SMGC_4132,Virus,Siphoviridae,Siphoviridae
SMGC_4133,Virus,Siphoviridae,Siphoviridae
SMGC_4131,Virus,Siphoviridae,Siphoviridae
SMGC_4143,Virus,Myoviridae,Myoviridae
SMGC_4137,Virus,Siphoviridae,Siphoviridae
SMGC_4145,Virus,Siphoviridae,Siphoviridae
SMGC_4138,Virus,Siphoviridae,Siphoviridae
SMGC_4142,Virus,Myoviridae,Myoviridae
SMGC_4136,Virus,Siphoviridae,Siphoviridae
SMGC_4134,Virus,Myoviridae,Myoviridae
SMGC_4140,Virus,Siphoviridae,Siphoviridae
SMGC_4146,Virus,Siphoviridae,Siphoviridae
SMGC_4144,Virus,Siphoviridae,Siphoviridae
SMGC_4141,Virus,Myoviridae,Myoviridae
SMGC_4139,Virus,Myoviridae,Myoviridae
SMGC_4135,Virus,Siphoviridae,Siphoviridae
SMGC_4161,Virus,Siphoviridae,Siphoviridae
SMGC_4153,Virus,Siphoviridae,Siphoviridae
SMGC_4158,Virus,Myoviridae,Myoviridae
SMGC_4148,Virus,Siphoviridae,Siphoviridae
SMGC_4147,Virus,Siphoviridae,Siphoviridae
SMGC_4154,Virus,Siphoviridae,Siphoviridae
SMGC_4156,Virus,Podoviridae,Podoviridae
SMGC_4151,Virus,Siphoviridae,Siphoviridae
SMGC_4160,Virus,Siphoviridae,Siphoviridae
SMGC_4152,Virus,Podoviridae,Podoviridae
SMGC_4157,Virus,Unassigned,Unassigned
SMGC_4159,Virus,Siphoviridae,Siphoviridae
SMGC_4162,Virus,Other,Other
SMGC_4155,Virus,Siphoviridae,Siphoviridae
SMGC_4149,Virus,Siphoviridae,Siphoviridae
SMGC_4150,Virus,Other,Other
SMGC_4163,Virus,Siphoviridae,Siphoviridae
SMGC_4164,Virus,Siphoviridae,Siphoviridae
SMGC_4165,Virus,Siphoviridae,Siphoviridae
SMGC_4166,Virus,Other,Other
SMGC_4167,Virus,Siphoviridae,Siphoviridae
SMGC_4168,Virus,Siphoviridae,Siphoviridae
SMGC_4169,Virus,Siphoviridae,Siphoviridae
SMGC_4170,Virus,Siphoviridae,Siphoviridae
SMGC_4171,Virus,Siphoviridae,Siphoviridae
SMGC_4172,Virus,Siphoviridae,Siphoviridae
SMGC_4179,Virus,Siphoviridae,Siphoviridae
SMGC_4178,Virus,Siphoviridae,Siphoviridae
SMGC_4175,Virus,Siphoviridae,Siphoviridae
SMGC_4174,Virus,Siphoviridae,Siphoviridae
SMGC_4177,Virus,Siphoviridae,Siphoviridae
SMGC_4176,Virus,Other,Other
SMGC_4173,Virus,Siphoviridae,Siphoviridae
SMGC_4181,Virus,Siphoviridae,Siphoviridae
SMGC_4180,Virus,Siphoviridae,Siphoviridae
SMGC_4182,Virus,Siphoviridae,Siphoviridae
SMGC_4183,Virus,Myoviridae,Myoviridae
SMGC_4185,Virus,Other,Other
SMGC_4184,Virus,Myoviridae,Myoviridae
SMGC_4186,Virus,Myoviridae,Myoviridae
SMGC_4187,Virus,Unassigned,Unassigned
SMGC_4189,Virus,Siphoviridae,Siphoviridae
SMGC_4188,Virus,Other,Other
SMGC_4191,Virus,Other,Other
SMGC_4190,Virus,Siphoviridae,Siphoviridae
SMGC_4192,Virus,Other,Other
SMGC_4193,Virus,Siphoviridae,Siphoviridae
SMGC_4194,Virus,Siphoviridae,Siphoviridae
SMGC_4197,Virus,Siphoviridae,Siphoviridae
SMGC_4196,Virus,Siphoviridae,Siphoviridae
SMGC_4195,Virus,Siphoviridae,Siphoviridae
SMGC_4198,Virus,Siphoviridae,Siphoviridae
SMGC_4200,Virus,Siphoviridae,Siphoviridae
SMGC_4199,Virus,Other,Other
SMGC_4202,Virus,Siphoviridae,Siphoviridae
SMGC_4201,Virus,Myoviridae,Myoviridae
SMGC_4203,Virus,Siphoviridae,Siphoviridae
SMGC_4204,Virus,Siphoviridae,Siphoviridae
SMGC_4205,Virus,Unassigned,Unassigned
SMGC_4206,Virus,Unassigned,Unassigned
SMGC_4212,Virus,Siphoviridae,Siphoviridae
SMGC_4210,Virus,Siphoviridae,Siphoviridae
SMGC_4216,Virus,Myoviridae,Myoviridae
SMGC_4207,Virus,Siphoviridae,Siphoviridae
SMGC_4226,Virus,Siphoviridae,Siphoviridae
SMGC_4214,Virus,Siphoviridae,Siphoviridae
SMGC_4223,Virus,Siphoviridae,Siphoviridae
SMGC_4215,Virus,Myoviridae,Myoviridae
SMGC_4208,Virus,Siphoviridae,Siphoviridae
SMGC_4228,Virus,Siphoviridae,Siphoviridae
SMGC_4225,Virus,Myoviridae,Myoviridae
SMGC_4218,Virus,Siphoviridae,Siphoviridae
SMGC_4229,Virus,Siphoviridae,Siphoviridae
SMGC_4221,Virus,Siphoviridae,Siphoviridae
SMGC_4220,Virus,Other,Other
SMGC_4224,Virus,Siphoviridae,Siphoviridae
SMGC_4211,Virus,Unassigned,Unassigned
SMGC_4209,Virus,Other,Other
SMGC_4217,Virus,Other,Other
SMGC_4222,Virus,Other,Other
SMGC_4213,Virus,Other,Other
SMGC_4227,Virus,Siphoviridae,Siphoviridae
SMGC_4219,Virus,Totiviridae,Totiviridae
SMGC_4230,Virus,Siphoviridae,Siphoviridae
SMGC_4231,Virus,Phycodnaviridae,Phycodnaviridae
SMGC_4237,Virus,Siphoviridae,Siphoviridae
SMGC_4236,Virus,Myoviridae,Myoviridae
SMGC_4233,Virus,Siphoviridae,Siphoviridae
SMGC_4235,Virus,Unassigned,Unassigned
SMGC_4232,Virus,Other,Other
SMGC_4234,Virus,Siphoviridae,Siphoviridae
SMGC_4239,Virus,Unassigned,Unassigned
SMGC_4240,Virus,Siphoviridae,Siphoviridae
SMGC_4238,Virus,Siphoviridae,Siphoviridae
SMGC_4242,Virus,Siphoviridae,Siphoviridae
SMGC_4241,Virus,Siphoviridae,Siphoviridae
SMGC_4247,Virus,Myoviridae,Myoviridae
SMGC_4243,Virus,Myoviridae,Myoviridae
SMGC_4246,Virus,Siphoviridae,Siphoviridae
SMGC_4245,Virus,Siphoviridae,Siphoviridae
SMGC_4244,Virus,Myoviridae,Myoviridae
SMGC_4249,Virus,Other,Other
SMGC_4248,Virus,Myoviridae,Myoviridae
SMGC_4250,Virus,Myoviridae,Myoviridae
SMGC_4254,Virus,Myoviridae,Myoviridae
SMGC_4258,Virus,Myoviridae,Myoviridae
SMGC_4251,Virus,Siphoviridae,Siphoviridae
SMGC_4261,Virus,Unassigned,Unassigned
SMGC_4262,Virus,Myoviridae,Myoviridae
SMGC_4259,Virus,Siphoviridae,Siphoviridae
SMGC_4260,Virus,Podoviridae,Podoviridae
SMGC_4255,Virus,Podoviridae,Podoviridae
SMGC_4257,Virus,Siphoviridae,Siphoviridae
SMGC_4253,Virus,Siphoviridae,Siphoviridae
SMGC_4252,Virus,Myoviridae,Myoviridae
SMGC_4256,Virus,Siphoviridae,Siphoviridae
SMGC_4263,Virus,Siphoviridae,Siphoviridae
SMGC_4264,Virus,Other,Other
SMGC_4266,Virus,Other,Other
SMGC_4265,Virus,Siphoviridae,Siphoviridae
SMGC_4267,Virus,Other,Other
SMGC_4269,Virus,Other,Other
SMGC_4268,Virus,Unassigned,Unassigned
SMGC_4274,Virus,Siphoviridae,Siphoviridae
SMGC_4271,Virus,Siphoviridae,Siphoviridae
SMGC_4270,Virus,Siphoviridae,Siphoviridae
SMGC_4275,Virus,Siphoviridae,Siphoviridae
SMGC_4272,Virus,Siphoviridae,Siphoviridae
SMGC_4273,Virus,Siphoviridae,Siphoviridae
SMGC_4277,Virus,Siphoviridae,Siphoviridae
SMGC_4276,Virus,Siphoviridae,Siphoviridae
SMGC_4283,Virus,Siphoviridae,Siphoviridae
SMGC_4282,Virus,Siphoviridae,Siphoviridae
SMGC_4287,Virus,Siphoviridae,Siphoviridae
SMGC_4285,Virus,Siphoviridae,Siphoviridae
SMGC_4281,Virus,Siphoviridae,Siphoviridae
SMGC_4279,Virus,Siphoviridae,Siphoviridae
SMGC_4286,Virus,Siphoviridae,Siphoviridae
SMGC_4284,Virus,Siphoviridae,Siphoviridae
SMGC_4278,Virus,Siphoviridae,Siphoviridae
SMGC_4280,Virus,Siphoviridae,Siphoviridae
SMGC_4288,Virus,Siphoviridae,Siphoviridae
SMGC_4289,Virus,Papillomaviridae,Papillomaviridae
SMGC_4290,Virus,Papillomaviridae,Papillomaviridae
SMGC_4291,Virus,Other,Other
SMGC_4294,Virus,Siphoviridae,Siphoviridae
SMGC_4293,Virus,Siphoviridae,Siphoviridae
SMGC_4292,Virus,Siphoviridae,Siphoviridae
SMGC_4298,Virus,Siphoviridae,Siphoviridae
SMGC_4303,Virus,Siphoviridae,Siphoviridae
SMGC_4300,Virus,Other,Other
SMGC_4301,Virus,Unassigned,Unassigned
SMGC_4304,Virus,Siphoviridae,Siphoviridae
SMGC_4295,Virus,Siphoviridae,Siphoviridae
SMGC_4299,Virus,Other,Other
SMGC_4297,Virus,Siphoviridae,Siphoviridae
SMGC_4296,Virus,Siphoviridae,Siphoviridae
SMGC_4302,Virus,Siphoviridae,Siphoviridae
SMGC_4306,Virus,Podoviridae,Podoviridae
SMGC_4305,Virus,Siphoviridae,Siphoviridae
SMGC_4309,Virus,Siphoviridae,Siphoviridae
SMGC_4307,Virus,Podoviridae,Podoviridae
SMGC_4310,Virus,Podoviridae,Podoviridae
SMGC_4308,Virus,Papillomaviridae,Papillomaviridae
SMGC_4312,Virus,Siphoviridae,Siphoviridae
SMGC_4311,Virus,Siphoviridae,Siphoviridae
SMGC_4313,Virus,Myoviridae,Myoviridae
SMGC_4314,Virus,Siphoviridae,Siphoviridae
SMGC_4315,Virus,Siphoviridae,Siphoviridae
SMGC_4316,Virus,Papillomaviridae,Papillomaviridae
SMGC_4317,Virus,Papillomaviridae,Papillomaviridae
SMGC_4318,Virus,Papillomaviridae,Papillomaviridae
SMGC_4319,Virus,Siphoviridae,Siphoviridae
SMGC_4320,Virus,Siphoviridae,Siphoviridae
SMGC_4321,Virus,Other,Other
SMGC_4323,Virus,Papillomaviridae,Papillomaviridae
SMGC_4322,Virus,Unassigned,Unassigned
SMGC_4324,Virus,Papillomaviridae,Papillomaviridae
SMGC_4325,Virus,Papillomaviridae,Papillomaviridae
SMGC_4326,Virus,Siphoviridae,Siphoviridae
SMGC_4327,Virus,Papillomaviridae,Papillomaviridae
SMGC_4328,Virus,Siphoviridae,Siphoviridae
SMGC_4329,Virus,Siphoviridae,Siphoviridae
SMGC_4330,Virus,Siphoviridae,Siphoviridae
SMGC_4331,Virus,Myoviridae,Myoviridae
SMGC_4332,Virus,Siphoviridae,Siphoviridae
SMGC_4334,Virus,Siphoviridae,Siphoviridae
SMGC_4335,Virus,Siphoviridae,Siphoviridae
SMGC_4333,Virus,Siphoviridae,Siphoviridae
SMGC_4336,Virus,Other,Other
SMGC_4337,Virus,Siphoviridae,Siphoviridae
SMGC_4339,Virus,Siphoviridae,Siphoviridae
SMGC_4338,Virus,Siphoviridae,Siphoviridae
SMGC_4341,Virus,Siphoviridae,Siphoviridae
SMGC_4340,Virus,Siphoviridae,Siphoviridae
SMGC_4343,Virus,Siphoviridae,Siphoviridae
SMGC_4342,Virus,Siphoviridae,Siphoviridae
SMGC_4347,Virus,Siphoviridae,Siphoviridae
SMGC_4344,Virus,Siphoviridae,Siphoviridae
SMGC_4345,Virus,Podoviridae,Podoviridae
SMGC_4346,Virus,Other,Other
SMGC_4348,Virus,Siphoviridae,Siphoviridae
SMGC_4349,Virus,Papillomaviridae,Papillomaviridae
SMGC_4351,Virus,Siphoviridae,Siphoviridae
SMGC_4350,Virus,Papillomaviridae,Papillomaviridae
SMGC_4353,Virus,Other,Other
SMGC_4352,Virus,Papillomaviridae,Papillomaviridae
SMGC_4354,Virus,Siphoviridae,Siphoviridae
SMGC_4356,Virus,Siphoviridae,Siphoviridae
SMGC_4355,Virus,Siphoviridae,Siphoviridae
SMGC_4363,Virus,Siphoviridae,Siphoviridae
SMGC_4358,Virus,Siphoviridae,Siphoviridae
SMGC_4359,Virus,Siphoviridae,Siphoviridae
SMGC_4357,Virus,Myoviridae,Myoviridae
SMGC_4362,Virus,Siphoviridae,Siphoviridae
SMGC_4360,Virus,Siphoviridae,Siphoviridae
SMGC_4361,Virus,Siphoviridae,Siphoviridae
SMGC_4366,Virus,Siphoviridae,Siphoviridae
SMGC_4365,Virus,Siphoviridae,Siphoviridae
SMGC_4364,Virus,Siphoviridae,Siphoviridae
SMGC_4379,Virus,Unassigned,Unassigned
SMGC_4375,Virus,Myoviridae,Myoviridae
SMGC_4384,Virus,Siphoviridae,Siphoviridae
SMGC_4392,Virus,Other,Other
SMGC_4369,Virus,Myoviridae,Myoviridae
SMGC_4386,Virus,Other,Other
SMGC_4378,Virus,Myoviridae,Myoviridae
SMGC_4385,Virus,Unassigned,Unassigned
SMGC_4400,Virus,Unassigned,Unassigned
SMGC_4372,Virus,Siphoviridae,Siphoviridae
SMGC_4395,Virus,Siphoviridae,Siphoviridae
SMGC_4389,Virus,Unassigned,Unassigned
SMGC_4376,Virus,Siphoviridae,Siphoviridae
SMGC_4390,Virus,Siphoviridae,Siphoviridae
SMGC_4370,Virus,Myoviridae,Myoviridae
SMGC_4371,Virus,Unassigned,Unassigned
SMGC_4374,Virus,Siphoviridae,Siphoviridae
SMGC_4367,Virus,Siphoviridae,Siphoviridae
SMGC_4373,Virus,Siphoviridae,Siphoviridae
SMGC_4391,Virus,Siphoviridae,Siphoviridae
SMGC_4382,Virus,Siphoviridae,Siphoviridae
SMGC_4377,Virus,Siphoviridae,Siphoviridae
SMGC_4387,Virus,Siphoviridae,Siphoviridae
SMGC_4397,Virus,Myoviridae,Myoviridae
SMGC_4398,Virus,Other,Other
SMGC_4381,Virus,Siphoviridae,Siphoviridae
SMGC_4396,Virus,Siphoviridae,Siphoviridae
SMGC_4383,Virus,Unassigned,Unassigned
SMGC_4368,Virus,Unassigned,Unassigned
SMGC_4380,Virus,Other,Other
SMGC_4399,Virus,Other,Other
SMGC_4393,Virus,Siphoviridae,Siphoviridae
SMGC_4388,Virus,Siphoviridae,Siphoviridae
SMGC_4394,Virus,Other,Other
SMGC_4403,Virus,Siphoviridae,Siphoviridae
SMGC_4404,Virus,Siphoviridae,Siphoviridae
SMGC_4406,Virus,Siphoviridae,Siphoviridae
SMGC_4405,Virus,Siphoviridae,Siphoviridae
SMGC_4401,Virus,Siphoviridae,Siphoviridae
SMGC_4402,Virus,Siphoviridae,Siphoviridae
SMGC_4407,Virus,Siphoviridae,Siphoviridae
SMGC_4409,Virus,Siphoviridae,Siphoviridae
SMGC_4413,Virus,Siphoviridae,Siphoviridae
SMGC_4411,Virus,Other,Other
SMGC_4408,Virus,Myoviridae,Myoviridae
SMGC_4410,Virus,Myoviridae,Myoviridae
SMGC_4412,Virus,Siphoviridae,Siphoviridae
SMGC_4415,Virus,Siphoviridae,Siphoviridae
SMGC_4414,Virus,Siphoviridae,Siphoviridae
SMGC_4416,Virus,Siphoviridae,Siphoviridae
SMGC_4419,Virus,Siphoviridae,Siphoviridae
SMGC_4418,Virus,Siphoviridae,Siphoviridae
SMGC_4417,Virus,Siphoviridae,Siphoviridae
SMGC_4420,Virus,Siphoviridae,Siphoviridae
SMGC_4421,Virus,Siphoviridae,Siphoviridae
SMGC_4422,Virus,Siphoviridae,Siphoviridae
SMGC_4423,Virus,Siphoviridae,Siphoviridae
SMGC_4424,Virus,Myoviridae,Myoviridae
SMGC_4430,Virus,Podoviridae,Podoviridae
SMGC_4428,Virus,Siphoviridae,Siphoviridae
SMGC_4431,Virus,Siphoviridae,Siphoviridae
SMGC_4426,Virus,Siphoviridae,Siphoviridae
SMGC_4427,Virus,Myoviridae,Myoviridae
SMGC_4435,Virus,Siphoviridae,Siphoviridae
SMGC_4434,Virus,Myoviridae,Myoviridae
SMGC_4433,Virus,Other,Other
SMGC_4432,Virus,Other,Other
SMGC_4425,Virus,Other,Other
SMGC_4429,Virus,Other,Other
SMGC_4436,Virus,Siphoviridae,Siphoviridae
SMGC_4437,Virus,Siphoviridae,Siphoviridae
SMGC_4438,Virus,Other,Other
SMGC_4439,Virus,Siphoviridae,Siphoviridae
SMGC_4440,Virus,Siphoviridae,Siphoviridae
SMGC_4443,Virus,Myoviridae,Myoviridae
SMGC_4441,Virus,Myoviridae,Myoviridae
SMGC_4444,Virus,Siphoviridae,Siphoviridae
SMGC_4442,Virus,Siphoviridae,Siphoviridae
SMGC_4445,Virus,Unassigned,Unassigned
SMGC_4461,Virus,Siphoviridae,Siphoviridae
SMGC_4463,Virus,Siphoviridae,Siphoviridae
SMGC_4455,Virus,Siphoviridae,Siphoviridae
SMGC_4450,Virus,Myoviridae,Myoviridae
SMGC_4449,Virus,Myoviridae,Myoviridae
SMGC_4446,Virus,Siphoviridae,Siphoviridae
SMGC_4459,Virus,Siphoviridae,Siphoviridae
SMGC_4447,Virus,Siphoviridae,Siphoviridae
SMGC_4453,Virus,Myoviridae,Myoviridae
SMGC_4448,Virus,Siphoviridae,Siphoviridae
SMGC_4458,Virus,Siphoviridae,Siphoviridae
SMGC_4457,Virus,Siphoviridae,Siphoviridae
SMGC_4464,Virus,Siphoviridae,Siphoviridae
SMGC_4462,Virus,Siphoviridae,Siphoviridae
SMGC_4460,Virus,Other,Other
SMGC_4452,Virus,Siphoviridae,Siphoviridae
SMGC_4451,Virus,Siphoviridae,Siphoviridae
SMGC_4456,Virus,Siphoviridae,Siphoviridae
SMGC_4454,Virus,Siphoviridae,Siphoviridae
SMGC_4465,Virus,Siphoviridae,Siphoviridae
SMGC_4466,Virus,Siphoviridae,Siphoviridae
SMGC_4473,Virus,Siphoviridae,Siphoviridae
SMGC_4467,Virus,Siphoviridae,Siphoviridae
SMGC_4470,Virus,Siphoviridae,Siphoviridae
SMGC_4472,Virus,Siphoviridae,Siphoviridae
SMGC_4476,Virus,Siphoviridae,Siphoviridae
SMGC_4475,Virus,Siphoviridae,Siphoviridae
SMGC_4471,Virus,Siphoviridae,Siphoviridae
SMGC_4474,Virus,Siphoviridae,Siphoviridae
SMGC_4468,Virus,Siphoviridae,Siphoviridae
SMGC_4469,Virus,Siphoviridae,Siphoviridae
SMGC_4477,Virus,Siphoviridae,Siphoviridae
SMGC_4478,Virus,Papillomaviridae,Papillomaviridae
SMGC_4479,Virus,Papillomaviridae,Papillomaviridae
SMGC_4480,Virus,Papillomaviridae,Papillomaviridae
SMGC_4481,Virus,Papillomaviridae,Papillomaviridae
SMGC_4482,Virus,Papillomaviridae,Papillomaviridae
SMGC_4484,Virus,Papillomaviridae,Papillomaviridae
SMGC_4483,Virus,Papillomaviridae,Papillomaviridae
SMGC_4485,Virus,Papillomaviridae,Papillomaviridae
SMGC_4486,Virus,Papillomaviridae,Papillomaviridae
SMGC_4487,Virus,Papillomaviridae,Papillomaviridae
SMGC_4493,Virus,Siphoviridae,Siphoviridae
SMGC_4496,Virus,Siphoviridae,Siphoviridae
SMGC_4495,Virus,Siphoviridae,Siphoviridae
SMGC_4489,Virus,Siphoviridae,Siphoviridae
SMGC_4490,Virus,Siphoviridae,Siphoviridae
SMGC_4488,Virus,Siphoviridae,Siphoviridae
SMGC_4494,Virus,Papillomaviridae,Papillomaviridae
SMGC_4492,Virus,Papillomaviridae,Papillomaviridae
SMGC_4498,Virus,Papillomaviridae,Papillomaviridae
SMGC_4491,Virus,Siphoviridae,Siphoviridae
SMGC_4497,Virus,Siphoviridae,Siphoviridae
SMGC_4512,Virus,Siphoviridae,Siphoviridae
SMGC_4508,Virus,Siphoviridae,Siphoviridae
SMGC_4506,Virus,Papillomaviridae,Papillomaviridae
SMGC_4507,Virus,Siphoviridae,Siphoviridae
SMGC_4499,Virus,Papillomaviridae,Papillomaviridae
SMGC_4500,Virus,Papillomaviridae,Papillomaviridae
SMGC_4503,Virus,Papillomaviridae,Papillomaviridae
SMGC_4502,Virus,Papillomaviridae,Papillomaviridae
SMGC_4505,Virus,Papillomaviridae,Papillomaviridae
SMGC_4501,Virus,Papillomaviridae,Papillomaviridae
SMGC_4504,Virus,Papillomaviridae,Papillomaviridae
SMGC_4514,Virus,Papillomaviridae,Papillomaviridae
SMGC_4510,Virus,Poxviridae,Poxviridae
SMGC_4513,Virus,Myoviridae,Myoviridae
SMGC_4509,Virus,Myoviridae,Myoviridae
SMGC_4511,Virus,Siphoviridae,Siphoviridae
SMGC_4518,Virus,Siphoviridae,Siphoviridae
SMGC_4517,Virus,Papillomaviridae,Papillomaviridae
SMGC_4515,Virus,Papillomaviridae,Papillomaviridae
SMGC_4516,Virus,Papillomaviridae,Papillomaviridae
SMGC_4519,Virus,Papillomaviridae,Papillomaviridae
SMGC_4521,Virus,Papillomaviridae,Papillomaviridae
SMGC_4527,Virus,Papillomaviridae,Papillomaviridae
SMGC_4525,Virus,Papillomaviridae,Papillomaviridae
SMGC_4528,Virus,Papillomaviridae,Papillomaviridae
SMGC_4524,Virus,Papillomaviridae,Papillomaviridae
SMGC_4526,Virus,Papillomaviridae,Papillomaviridae
SMGC_4520,Virus,Papillomaviridae,Papillomaviridae
SMGC_4523,Virus,Papillomaviridae,Papillomaviridae
SMGC_4522,Virus,Papillomaviridae,Papillomaviridae
SMGC_4529,Virus,Unassigned,Unassigned
SMGC_4532,Virus,Papillomaviridae,Papillomaviridae
SMGC_4543,Virus,Papillomaviridae,Papillomaviridae
SMGC_4540,Virus,Papillomaviridae,Papillomaviridae
SMGC_4541,Virus,Papillomaviridae,Papillomaviridae
