Identifier,Taxa1,Taxa2,Taxa3
SMGC_1444,Virus,Other,Other
SMGC_1445,Virus,Siphoviridae,Siphoviridae
SMGC_1456,Virus,Siphoviridae,Siphoviridae
SMGC_1451,Virus,Siphoviridae,Siphoviridae
SMGC_1450,Virus,Other,Other
SMGC_1453,Virus,Other,Other
SMGC_1459,Virus,Siphoviridae,Siphoviridae
SMGC_1454,Virus,Other,Other
SMGC_1449,Virus,Other,Other
SMGC_1461,Virus,Myoviridae,Myoviridae
SMGC_1462,Virus,Siphoviridae,Siphoviridae
SMGC_1460,Virus,Unassigned,Unassigned
SMGC_1452,Virus,Unassigned,Unassigned
SMGC_1457,Virus,Other,Other
SMGC_1458,Virus,Mimiviridae,Mimiviridae
SMGC_1455,Virus,Myoviridae,Myoviridae
SMGC_1465,Virus,Siphoviridae,Siphoviridae
SMGC_1464,Virus,Siphoviridae,Siphoviridae
SMGC_1466,Virus,Siphoviridae,Siphoviridae
SMGC_1469,Virus,Unassigned,Unassigned
SMGC_1468,Virus,Siphoviridae,Siphoviridae
SMGC_1463,Virus,Mimiviridae,Mimiviridae
SMGC_1467,Virus,Siphoviridae,Siphoviridae
SMGC_1470,Virus,Siphoviridae,Siphoviridae
SMGC_1471,Virus,Herpesviridae,Herpesviridae
SMGC_1496,Virus,Other,Other
SMGC_1497,Virus,Other,Other
SMGC_1498,Virus,Podoviridae,Podoviridae
SMGC_1499,Virus,Myoviridae,Myoviridae
SMGC_1500,Virus,Myoviridae,Myoviridae
SMGC_1488,Virus,Siphoviridae,Siphoviridae
SMGC_1502,Virus,Siphoviridae,Siphoviridae
SMGC_1503,Virus,Siphoviridae,Siphoviridae
SMGC_1504,Virus,Podoviridae,Podoviridae
SMGC_1505,Virus,Other,Other
SMGC_1493,Virus,Myoviridae,Myoviridae
SMGC_1507,Virus,Siphoviridae,Siphoviridae
SMGC_1508,Virus,Siphoviridae,Siphoviridae
SMGC_1482,Virus,Myoviridae,Myoviridae
SMGC_1472,Virus,Myoviridae,Myoviridae
SMGC_1473,Virus,Siphoviridae,Siphoviridae
SMGC_1474,Virus,Podoviridae,Podoviridae
SMGC_1513,Virus,Unassigned,Unassigned
SMGC_1475,Virus,Siphoviridae,Siphoviridae
SMGC_1481,Virus,Siphoviridae,Siphoviridae
SMGC_1477,Virus,Myoviridae,Myoviridae
SMGC_1490,Virus,Unassigned,Unassigned
SMGC_1478,Virus,Podoviridae,Podoviridae
SMGC_1479,Virus,Podoviridae,Podoviridae
SMGC_1480,Virus,Siphoviridae,Siphoviridae
SMGC_1494,Virus,Siphoviridae,Siphoviridae
SMGC_1495,Virus,Myoviridae,Myoviridae
SMGC_1483,Virus,Myoviridae,Myoviridae
SMGC_1484,Virus,Podoviridae,Podoviridae
SMGC_1485,Virus,Podoviridae,Podoviridae
SMGC_1486,Virus,Siphoviridae,Siphoviridae
SMGC_1487,Virus,Podoviridae,Podoviridae
SMGC_1476,Virus,Siphoviridae,Siphoviridae
SMGC_1489,Virus,Papillomaviridae,Papillomaviridae
SMGC_1516,Virus,Papillomaviridae,Papillomaviridae
SMGC_1510,Virus,Other,Other
SMGC_1491,Virus,Other,Other
SMGC_1492,Virus,Other,Other
SMGC_1517,Virus,Other,Other
SMGC_1509,Virus,Siphoviridae,Siphoviridae
SMGC_1506,Virus,Unassigned,Unassigned
