feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
KEGG37	ST	768	-0.0465978093880249	0.00773745100125901	1101	1101	2.35483373208031e-09	6.05528673963508e-09
KEGG73	ST	59	0.755568362848957	0.125757031022226	1101	246	2.56128527270611e-09	6.56499507805814e-09
KEGG75	ST	153	-0.0532791582545634	0.00879057807070425	1101	1101	2.56394086381873e-09	6.56499507805814e-09
KEGG34	ST	73	0.409616927923654	0.0681960079670564	1101	117	2.59416462767939e-09	6.62831046818082e-09
KEGG50	ST	5	-0.0459727869705638	0.00720230989258662	1101	1101	2.68156889772717e-09	6.83715029737625e-09
KEGG2	ST	16	-0.0326171306234856	0.00544568879108902	1101	1101	2.86171160741765e-09	7.28106371001199e-09
KEGG40	ST	88	-0.0818806448943109	0.0136989208720408	1101	1101	3.09945824340264e-09	7.86936135061807e-09
KEGG11	ST	203	-0.0185665211092522	0.00311040534865835	1101	1101	3.2412131867645e-09	8.21198130932351e-09
KEGG61	ST	203	-0.0183825947726236	0.00309257586123165	1101	1101	3.75962819153442e-09	9.50547505029456e-09
KEGG31	ST	490	3.01965342067969	0.508717944002887	1101	779	3.95336286270739e-09	9.97438412641237e-09
KEGG44	ST	153	-0.0528639081019373	0.00884022219538718	1101	1101	4.17040559979536e-09	1.05000191092969e-08
KEGG53	ST	290	-0.0448974807677955	0.00757961719722296	1101	1101	4.23467362093692e-09	1.06190132101861e-08
KEGG62	ST	290	-0.0448969890355697	0.00757956517449504	1101	1101	4.23527807139265e-09	1.06190132101861e-08
KEGG23	ST	59	-0.0394128102269484	0.00664200376429232	1101	1101	4.25909450656672e-09	1.06565725620736e-08
KEGG11	ST	16	-0.0327404528305634	0.00555068915475915	1101	1101	4.90250426728926e-09	1.22410354996912e-08
KEGG46	ST	290	-0.0455487837116452	0.00775113924933274	1101	1101	5.58025649269464e-09	1.39045234094829e-08
KEGG65	ST	73	-0.0366201736792383	0.00625686435772561	1101	1101	6.56608104713672e-09	1.63272035934987e-08
KEGG61	ST	16	-0.0322551752862763	0.00552046773718508	1101	1101	6.78591613383739e-09	1.68391252210039e-08
KEGG30	ST	487	-0.0304974154336098	0.00522326196237088	1101	1101	7.02765102020598e-09	1.74031768590727e-08
KEGG50	ST	766	-0.0534868573093633	0.00916223953265714	1101	1101	7.71078527111556e-09	1.9055752124929e-08
KEGG64	ST	290	-0.114725917950914	0.0197241958935351	1101	1101	7.90740514059007e-09	1.95016985675902e-08
KEGG48	ST	35	-0.0378624519143835	0.00645323248178891	1101	1101	8.98154974186873e-09	2.21056101810075e-08
KEGG45	ST	153	-0.0498825811051252	0.00854082844262558	1101	1101	9.38005728455973e-09	2.30394075054563e-08
KEGG3	ST	88	-0.0816476741430834	0.0141172094341861	1101	1101	9.61874906215718e-09	2.35585350916268e-08
KEGG51	ST	290	0.0717804331468321	0.0124123143274025	1101	1101	9.63047910462024e-09	2.35585350916268e-08
KEGG37	ST	59	-0.0405976985678057	0.00710587342405927	1101	1101	1.58399974689189e-08	3.86701152783727e-08
KEGG28	ST	218	-0.0767464009437377	0.0110583798638844	1101	1101	1.7825276371256e-08	4.342885515906e-08
KEGG39	ST	88	-0.0804269820715589	0.0141934566807327	1101	1101	1.87764039766032e-08	4.56539177334343e-08
