feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
KEGG139	ST	188	-0.0203646030665199	0.0637914337535926	1346	1346	0.749903630545774	0.904652956689992
KEGG24	ST	582	-0.0215224735489051	0.0670667579312974	1346	1345	0.74862957100515	0.904652956689992
KEGG25	ST	4603	0.00266015431572925	0.00840988475050042	1346	1346	0.751820098509746	0.904652956689992
KEGG41	ST	6	0.0028502656278029	0.00897370470663447	1346	1346	0.75084729715524	0.904652956689992
KEGG50	ST	2990	-0.00516329574495595	0.016165974056307	1346	1346	0.749490926744051	0.904652956689992
KEGG51	ST	398	0.00512991668381902	0.0161792092530577	1346	1346	0.751241695023417	0.904652956689992
KEGG59	ST	582	-0.0215247816126211	0.0670771851017047	1346	1345	0.748641280265146	0.904652956689992
KEGG66	ST	4603	0.00294865545833693	0.00929723026661591	1346	1346	0.751181313495677	0.904652956689992
KEGG77	ST	4603	0.00432115474731297	0.0136348257646581	1346	1346	0.751359627792969	0.904652956689992
KEGG81	ST	121	-0.0162320910546393	0.0511779174305995	1346	1346	0.751469789456102	0.904652956689992
KEGG83	ST	121	-0.0107520708416479	0.0337677348232477	1346	1346	0.750230507391272	0.904652956689992
KEGG2	ST	121	-0.00464686510121705	0.0147473996265811	1346	1346	0.753086938303409	0.90546937347574
KEGG109	ST	582	-0.0126339264784234	0.0403281071749231	1346	1344	0.754483940327137	0.905733841001141
KEGG8	ST	45	0.00150452159248893	0.00480080390826198	1346	1346	0.754406879992205	0.905733841001141
KEGG45	ST	45	0.00102620614393827	0.00329380115413262	1346	1346	0.755641308477672	0.9058616674144
KEGG77	ST	45	0.00268764220098172	0.00863534156083808	1346	1346	0.755767628953924	0.9058616674144
KEGG27	ST	5	-0.00158923844321591	0.00517254813006328	1346	1346	0.758857910533502	0.905997519691416
KEGG45	ST	5	-0.000903341588687912	0.00295705937545703	1346	1346	0.760312392399699	0.905997519691416
KEGG6	ST	7	-0.00233568596085803	0.00757452561211193	1346	1346	0.757937853462503	0.905997519691416
KEGG64	ST	2990	0.0104537055543436	0.0340035139513996	1346	1346	0.758571236173904	0.905997519691416
KEGG86	ST	7	-0.00413046338994711	0.0133904620692392	1346	1346	0.757790173897425	0.905997519691416
KEGG88	ST	1290	-0.00706697622061632	0.0230336811533572	1346	1345	0.759159107308757	0.905997519691416
KEGG93	ST	1290	-0.00702887926449301	0.0230523451589396	1346	1345	0.760590510358226	0.905997519691416
KEGG94	ST	1290	-0.00702887926449301	0.0230523451589396	1346	1345	0.760590510358226	0.905997519691416
KEGG50	ST	398	-0.00218194483419359	0.00714449933096747	1346	1346	0.761301137846085	0.906077432317725
KEGG7	ST	7	0.00188200523699015	0.00620630358313724	1346	1346	0.761835086042323	0.906077432317725
KEGG24	ST	188	-0.020044153584585	0.0673169013476088	1346	1345	0.766207596988447	0.90778095503307
KEGG42	ST	4603	0.0040683119995032	0.013630055408682	1346	1346	0.765387335648133	0.90778095503307
KEGG59	ST	188	-0.020046445119485	0.0673272900878294	1346	1345	0.766216673546432	0.90778095503307
KEGG83	ST	15	-0.00221370452074649	0.0073334151572585	1346	1346	0.765441872368964	0.90778095503307
KEGG95	ST	22	-0.00872099620805632	0.0289922861526032	1346	1346	0.763897683400441	0.90778095503307
KEGG109	ST	109	-0.0162138585097158	0.0576513026262878	1346	1344	0.778841051653617	0.909383418744084
KEGG109	ST	188	-0.0114057971642651	0.0411050900861042	1346	1344	0.781750658218598	0.909383418744084
KEGG134	ST	45	0.00142157719633307	0.00489975583923979	1346	1346	0.772065631214959	0.909383418744084
KEGG139	ST	109	-0.0253271148024136	0.0894004399745031	1346	1346	0.777261589417957	0.909383418744084
KEGG139	ST	121	-0.0320188812801844	0.109151907535375	1346	1346	0.769587096257424	0.909383418744084
KEGG17	ST	5	-0.00109931489287896	0.00379291319308876	1346	1346	0.772307398327963	0.909383418744084
KEGG18	ST	4603	0.00245155225609398	0.00843920789554972	1346	1346	0.771487318320876	0.909383418744084
KEGG191	ST	45	-0.0103032606488363	0.0360836960109971	1346	1324	0.775317307950335	0.909383418744084
KEGG24	ST	121	-0.0316747376765226	0.114149609725795	1346	1345	0.781711740668227	0.909383418744084
KEGG258	ST	1290	-0.00935898571041852	0.0319000049559951	1346	1344	0.769275630248055	0.909383418744084
KEGG258	ST	6	-0.00737587488397864	0.0252845298604428	1346	1344	0.770558229324356	0.909383418744084
KEGG27	ST	45	0.00162703919262428	0.00585582289149768	1346	1346	0.781359996012062	0.909383418744084
KEGG27	ST	4603	0.00310198043725634	0.0111614881083774	1346	1346	0.781122437586374	0.909383418744084
KEGG3	ST	121	-0.00417344740884076	0.0148626102034707	1346	1346	0.779229440616477	0.909383418744084
KEGG3	ST	5522	0.00278724562751372	0.0100329677752686	1346	1346	0.781364660073411	0.909383418744084
KEGG43	ST	2990	0.00463921084098414	0.0163519559382404	1346	1346	0.776753435619797	0.909383418744084
KEGG59	ST	121	-0.0316770372768613	0.114167433290797	1346	1345	0.781729508831874	0.909383418744084
KEGG61	ST	4603	0.00245445338921675	0.00879775911800205	1346	1346	0.780303018797319	0.909383418744084
KEGG64	ST	6	0.00524722861476896	0.0186111762246143	1346	1346	0.778050546433322	0.909383418744084
KEGG84	ST	15	-0.00135389232851841	0.00483707862018138	1346	1345	0.780729820214773	0.909383418744084
KEGG88	ST	2990	-0.00966621355591933	0.0337536400763197	1346	1345	0.774704244705042	0.909383418744084
KEGG93	ST	2990	-0.00959200144063505	0.0336656544950437	1346	1345	0.775812863348361	0.909383418744084
KEGG94	ST	2990	-0.00959200144063505	0.0336656544950437	1346	1345	0.775812863348361	0.909383418744084
KEGG95	ST	1290	-0.00767720246766999	0.0266145744393024	1346	1346	0.773076608011262	0.909383418744084
KEGG24	ST	6	-0.00754726009144114	0.0276655648862819	1346	1345	0.785048618311991	0.909623580768095
KEGG39	ST	398	-0.00327673310405101	0.0120241311927785	1346	1346	0.785503404055099	0.909623580768095
KEGG54	ST	109	0.00645274328544822	0.0235302883084376	1346	1346	0.784168412180893	0.909623580768095
KEGG59	ST	6	-0.0075475109640082	0.0276664854113841	1346	1345	0.785048622709244	0.909623580768095
KEGG69	ST	398	-0.00159961151033613	0.00579785082509498	1346	1346	0.782783988324731	0.909623580768095
KEGG81	ST	22	-0.00775360265069625	0.0281638927506526	1346	1346	0.783376009281025	0.909623580768095
KEGG88	ST	7	0.00459221875744312	0.0169583296844408	1346	1345	0.786663863199947	0.910282470274225
KEGG83	ST	188	-0.00303810343171228	0.0112106124295051	1346	1346	0.788179693832784	0.911351276340087
KEGG24	ST	109	-0.0249829711970891	0.093812843633339	1346	1345	0.790290661262992	0.912136643479257
KEGG258	ST	4603	0.00712617503121265	0.0270851217029578	1346	1344	0.7925136310372	0.912136643479257
KEGG31	ST	5	0.0508948265966365	0.192367963330862	1346	1058	0.791459326180521	0.912136643479257
KEGG59	ST	109	-0.0249852707974239	0.0938274138375446	1346	1345	0.790303614975164	0.912136643479257
